iter	Passed	Remaining
0	10	20414
1	18	18073
2	23	15456
3	34	17007
4	41	16424
5	45	15201
6	50	14415
7	55	13837
8	59	13241
9	64	12765
10	67	12248
11	80	13300
12	86	13159
13	91	12975
14	99	13197
15	108	13439
16	116	13541
17	124	13658
18	131	13751
19	137	13618
20	144	13658
21	148	13352
22	153	13184
23	159	13096
24	167	13206
25	176	13404
26	187	13708
27	192	13537
28	202	13774
29	210	13848
30	219	13950
31	227	13981
32	232	13846
33	238	13773
34	245	13772
35	254	13857
36	260	13831
37	268	13850
38	275	13837
39	281	13795
40	286	13697
41	290	13535
42	294	13395
43	302	13446
44	310	13470
45	317	13475
46	327	13597
47	332	13536
48	338	13475
49	344	13449
50	350	13380
51	356	13367
52	365	13437
53	374	13480
54	381	13486
55	385	13390
56	393	13428
57	404	13535
58	409	13484
59	413	13380
60	418	13294
61	422	13194
62	426	13119
63	435	13165
64	439	13073
65	445	13061
66	454	13103
67	461	13110
68	468	13118
69	475	13102
70	478	13013
71	482	12924
72	488	12889
73	491	12802
74	497	12777
75	504	12766
76	510	12745
77	514	12679
78	519	12643
79	525	12614
80	529	12546
81	536	12551
82	541	12514
83	552	12612
84	563	12700
85	571	12723
86	576	12683
87	583	12668
88	588	12639
89	593	12601
90	605	12693
91	614	12738
92	619	12698
93	622	12630
94	631	12661
95	640	12697
96	645	12656
97	652	12667
98	668	12829
99	672	12775
100	676	12726
101	686	12782
102	697	12846
103	701	12793
104	707	12768
105	713	12754
106	723	12804
107	738	12942
108	743	12895
109	753	12945
110	760	12942
111	777	13102
112	792	13227
113	805	13326
114	815	13374
115	828	13450
116	836	13462
117	843	13455
118	848	13411
119	855	13401
120	859	13346
121	866	13332
122	872	13309
123	876	13256
124	879	13186
125	884	13162
126	889	13113
127	893	13072
128	898	13032
129	904	13007
130	912	13020
131	919	13013
132	928	13035
133	935	13026
134	940	12994
135	946	12974
136	950	12931
137	957	12914
138	964	12910
139	974	12950
140	986	13004
141	1003	13134
142	1009	13114
143	1018	13125
144	1023	13088
145	1029	13069
146	1042	13143
147	1056	13225
148	1065	13236
149	1079	13314
150	1093	13390
151	1101	13386
152	1110	13407
153	1121	13445
154	1135	13516
155	1140	13484
156	1144	13440
157	1154	13454
158	1165	13495
159	1174	13509
160	1180	13485
161	1187	13477
162	1192	13439
163	1196	13393
164	1205	13401
165	1208	13348
166	1212	13304
167	1214	13239
168	1220	13222
169	1226	13208
170	1234	13200
171	1242	13203
172	1247	13174
173	1251	13136
174	1255	13098
175	1259	13055
176	1263	13018
177	1270	13008
178	1273	12951
179	1277	12920
180	1288	12950
181	1295	12939
182	1306	12976
183	1321	13040
184	1327	13019
185	1334	13011
186	1337	12964
187	1339	12914
188	1341	12852
189	1348	12843
190	1354	12831
191	1359	12805
192	1366	12791
193	1369	12751
194	1375	12727
195	1381	12712
196	1386	12693
197	1391	12666
198	1394	12620
199	1397	12581
200	1402	12554
201	1405	12506
202	1409	12478
203	1411	12425
204	1413	12376
205	1419	12363
206	1425	12351
207	1429	12313
208	1433	12283
209	1437	12250
210	1442	12227
211	1444	12179
212	1448	12154
213	1452	12123
214	1455	12083
215	1457	12037
216	1460	12001
217	1461	11950
218	1466	11923
219	1470	11898
220	1472	11852
221	1476	11825
222	1480	11797
223	1484	11768
224	1488	11745
225	1493	11722
226	1496	11685
227	1497	11639
228	1503	11624
229	1504	11575
230	1507	11546
231	1510	11507
232	1512	11469
233	1516	11441
234	1519	11413
235	1522	11381
236	1524	11342
237	1527	11312
238	1529	11269
239	1535	11260
240	1541	11247
241	1545	11227
242	1551	11220
243	1553	11178
244	1561	11186
245	1569	11192
246	1575	11181
247	1580	11162
248	1583	11136
249	1587	11114
250	1591	11087
251	1594	11060
252	1597	11029
253	1600	11004
254	1605	10984
255	1606	10945
256	1612	10934
257	1615	10910
258	1620	10893
259	1623	10862
260	1628	10847
261	1633	10833
262	1637	10813
263	1642	10803
264	1646	10782
265	1649	10755
266	1653	10732
267	1657	10710
268	1660	10683
269	1663	10661
270	1666	10634
271	1668	10600
272	1672	10579
273	1677	10565
274	1680	10541
275	1682	10512
276	1686	10490
277	1689	10466
278	1694	10452
279	1699	10437
280	1703	10421
281	1708	10408
282	1710	10378
283	1717	10376
284	1722	10366
285	1729	10364
286	1735	10360
287	1739	10342
288	1745	10333
289	1749	10314
290	1760	10341
291	1769	10350
292	1774	10338
293	1783	10348
294	1794	10369
295	1801	10369
296	1806	10360
297	1813	10360
298	1818	10344
299	1822	10325
300	1828	10319
301	1838	10335
302	1844	10330
303	1850	10321
304	1856	10316
305	1864	10320
306	1870	10314
307	1875	10302
308	1881	10296
309	1884	10276
310	1891	10270
